l,Prov_category,provenance_url,dataset_url,source_url,Licence Category,License URL,
dc/base/Eurostat_Early_Education_Training,StatisticsProvenance,https://ec.europa.eu/eurostat/databrowser/view/sdg_04_30__custom_7874475/default/table?lang=en,https://ec.europa.eu/eurostat/web/education-and-training/database,https://ec.europa.eu/eurostat,Creative Commons Attribution 4.0 License,https://commission.europa.eu/legal-notice_en,
dc/base/FAO_Currency,StatisticsProvenance,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/,Creative Commons Attribution 4.0 License,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,
dc/base/FAO_Currency_statvar,StatisticsProvenance,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/,Creative Commons Attribution 4.0 License,https://www.fao.org/contact-us/terms/db-terms-of-use/en/,
dc/base/FBIHateCrime,StatisticsProvenance,https://www.fbi.gov/services/cjis/ucr/hate-crime,https://www.fbi.gov/services/cjis/ucr/hate-crime,https://www.fbi.gov/,PublicDomain,https://www.fbi.gov/privacy-policy,
dc/base/FBIHateCrimePublications,StatisticsProvenance,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/hate-crime,https://www.fbi.gov/services/cjis/ucr/hate-crime,https://www.fbi.gov/,PublicDomain,https://www.fbi.gov/privacy-policy,
dc/base/FEC,StatisticsProvenance,https://www.fec.gov/data/browse-data/?tab=bulk-data,https://www.fec.gov/data/browse-data/?tab=bulk-data,https://www.fec.gov/,PublicDomain,https://www.fec.gov/accessibility-statement/,
dc/base/FeedingAmerica_FoodInsecurity,StatisticsProvenance,https://www.feedingamerica.org/hunger-in-america,https://map.feedingamerica.org,https://www.feedingamerica.org/,Standard Copyright,https://www.feedingamerica.org/privacy-policy,
dc/base/FeedingAmerica_MapMealGap,StatisticsProvenance,https://map.feedingamerica.org/,https://map.feedingamerica.org,https://www.feedingamerica.org/,Standard Copyright,https://www.feedingamerica.org/privacy-policy,
dc/base/FireFAMWEB,EntityProvenance,https://fam.nwcg.gov/fam-web/,https://famit.nwcg.gov/,https://www.nwcg.gov/,PublicDomain,https://www.nwcg.gov/notices#accessibility,
dc/base/FiresS2Cells,PlaceProvenance,https://s2geometry.io/resources/s2cell_statistics.html,,,Apache License 2.0.,https://github.com/google/s2-geometry-library-java/blob/master/LICENSE,
dc/base/FloodsS2Cells,PlaceProvenance,https://s2geometry.io/resources/s2cell_statistics.html,,,Apache License 2.0.,https://github.com/google/s2-geometry-library-java/blob/master/LICENSE,
dc/base/GenderIncomeInequality,StatisticsProvenance,https://www.datacommons.org/,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/GeneratedGraphs,StatisticsProvenance,https://datacommons.org/,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/GeoCoordinatesData,PlaceProvenance,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.2018.html,https://www.census.gov/programs-surveys/geography/geographies/mapping-files.html,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies.html,
dc/base/GeoCoordinatesData_Oceans,PlaceProvenance,https://www.marineregions.org/sources.php#goas,https://www.marineregions.org/sources.php#goas,https://www.marineregions.org/,Creative Commons Attribution 4.0 License,https://www.marineregions.org/disclaimer.php,
dc/base/GeoCoordinatesData_Simplified,PlaceProvenance,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.2018.html,https://www.census.gov/programs-surveys/geography/geographies/mapping-files.html,https://www.census.gov/,PublicDomain,https://www.census.gov/about/policies.html,
dc/base/GeoCoordinatesData_UK,PlaceProvenance,https://geoportal.statistics.gov.uk/datasets/ons::lsoa-dec-2011-boundaries-generalised-clipped-bgc-ew-v3-2/explore,https://geoportal.statistics.gov.uk/,https://www.ons.gov.uk/,Open Government Licence v3.0,https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,
dc/base/GeoGridPlace_1Deg_Contains_With_Oceans,PlaceProvenance,https://www.marineregions.org/sources.php#goas,https://www.marineregions.org/sources.php#goas,https://www.marineregions.org/,Creative Commons Attribution 4.0 License,https://www.marineregions.org/disclaimer.php,
dc/base/GoogleKGOnlyGeos,PlaceProvenance,https://www.google.com,https://www.google.com/,https://www.google.com/,Standard Copyright,https://policies.google.com/terms,
dc/base/HumanReadableStatVars,CuratedStatvarProvenance,https://datacommons.org,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/INPE_Fire_Event_Count,StatisticsProvenance,https://terrabrasilis.dpi.inpe.br/queimadas/situacao-atual/estatisticas/estatisticas_estados/,https://www.gov.br/inpe/pt-br/acesso-a-informacao/dados-abertos/,https://www.gov.br/inpe/,Creative Commons Attribution ShareAlikeLicense,https://terrabrasilis.dpi.inpe.br/en/about/,
dc/base/IPCCPlaces,PlaceProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/IPCCPlaces_GeoCoordinates,PlaceProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/IndiaCensus_Primary,StatisticsProvenance,https://censusindia.gov.in/,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/,Restricted Government Copyright,https://jorhat.assam.gov.in/policy-page/copyright-policy,
dc/base/IndiaCensus_PrimaryHouseless,StatisticsProvenance,https://censusindia.gov.in/,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/,Restricted Government Copyright,https://jorhat.assam.gov.in/policy-page/copyright-policy,
dc/base/IndiaCensus_PrimaryReligion,StatisticsProvenance,https://censusindia.gov.in/,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/,Restricted Government Copyright,https://jorhat.assam.gov.in/policy-page/copyright-policy,
dc/base/IndiaCensus_PrimarySC,StatisticsProvenance,https://censusindia.gov.in/,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/,Restricted Government Copyright,https://jorhat.assam.gov.in/policy-page/copyright-policy,
dc/base/IndiaCensus_PrimaryST,StatisticsProvenance,https://censusindia.gov.in/,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/,Restricted Government Copyright,https://jorhat.assam.gov.in/policy-page/copyright-policy,
dc/base/IndiaGeoCoordinates,PlaceProvenance,http://projects.datameet.org/maps,http://projects.datameet.org/maps,https://datameet.org/,Creative Commons Attribution ShareAlikeLicense,https://datameet.org/copyright/,
dc/base/IndiaGeoCoordinates_Simplified,PlaceProvenance,http://projects.datameet.org/maps,,,Creative Commons Attribution 4.0 License,https://creativecommons.org/licenses/by/4.0/,
dc/base/IndiaGeodata,PlaceProvenance,https://github.com/datameet/maps/blob/master/Country/india-composite.geojson,http://projects.datameet.org/maps,https://datameet.org/,Creative Commons Attribution ShareAlikeLicense,https://datameet.org/copyright/,
dc/base/IndiaLGDCodes,PlaceProvenance,https://lgdirectory.gov.in/downloadDirectory.do?OWASP_CSRFTOKEN=G4BW-2HK0-ZHUD-605W-VA1F-EAC8-M9J0-W4S5,https://lgdirectory.gov.in/,https://www.nic.in/,Restricted Government Copyright,https://ai.nic.in/AI/copyright_policy,
dc/base/IndiaNHM,StatisticsProvenance,https://hmis.nhp.gov.in/,https://hmis.nhp.gov.in/,https://nhm.gov.in/,Indian Government Proprietary Copyright,https://www.mospi.gov.in/sites/default/files/reports_and_publication/statistical_manual/cso_all_manual/pooling_of_central_and_state_sample_data/T&C.pdf,
dc/base/IndiaPLFS_DailyWages,StatisticsProvenance,https://mospi.gov.in/web/plfs,https://mospi.gov.in/web/plfs,https://mospi.gov.in/,Indian Government Proprietary Copyright,https://www.mospi.gov.in/sites/default/files/reports_and_publication/statistical_manual/cso_all_manual/pooling_of_central_and_state_sample_data/T&C.pdf,
dc/base/IndiaPLFS_Wages,StatisticsProvenance,https://mospi.gov.in/web/plfs,https://mospi.gov.in/web/plfs,https://mospi.gov.in/,Indian Government Proprietary Copyright,https://www.mospi.gov.in/sites/default/files/reports_and_publication/statistical_manual/cso_all_manual/pooling_of_central_and_state_sample_data/T&C.pdf,
dc/base/IndiaPoverty,StatisticsProvenance,https://socialjustice.gov.in/common/76672,https://www.niti.gov.in/sites/default/files/2021-11/National_MPI_India-11242021.pdf,https://niti.gov.in/,Restricted Government Copyright,https://www.niti.gov.in/copyright-policy,
dc/base/IndiaUDISEGeos,PlaceProvenance,http://pgi.seshagun.gov.in/BackEnd-master/api/report/getMasterData,https://udiseplus.gov.in/#/home,https://dashboard.udiseplus.gov.in/#/home,Standard Copyright,https://udiseplus.gov.in/#/en/home,
dc/base/IndiaUDISEStateMappings,PlaceProvenance,http://pgi.seshagun.gov.in/BackEnd-master/api/report/getMasterData,https://udiseplus.gov.in/#/home,https://dashboard.udiseplus.gov.in/#/home,Standard Copyright,https://udiseplus.gov.in/#/en/home,
dc/base/IndiaWRISWaterQuality,StatisticsProvenance,https://indiawris.gov.in/wris,https://indiawris.gov.in/wiki/doku.php?id=water_quality_data_and_parameters,https://indiawris.gov.in/wris/#/,Government Open Data License - India,https://www.data.gov.in/Godl,
dc/base/IndiaWaterQualityStations,PlaceProvenance,https://indiawris.gov.in/wris,https://indiawris.gov.in/wiki/doku.php?id=water_quality_data_and_parameters,https://indiawris.gov.in/wris/#/,Government Open Data License - India,https://www.data.gov.in/Godl,
dc/base/India_GeoSadak,StatisticsProvenance,https://geosadak-pmgsy.nic.in/,https://geosadak-pmgsy.nic.in/OpenData,https://geosadak-pmgsy.nic.in/,,,This site is not accessible
dc/base/Indonesia_Census,StatisticsProvenance,https://www.bps.go.id/,https://www.bps.go.id/indikator/indikator/list_/da_03/,https://www.bps.go.id/,PublicDomain,https://www.wipo.int/wipolex/en/legislation/details/15600,
dc/base/Ireland_Census,StatisticsProvenance,https://www.cso.ie/en/index.html,https://www.cso.ie/en/statistics/,https://www.cso.ie/en/index.html,Open Data Commons Attribution License,https://www.cso.ie/en/aboutus/whoweare/copyrightpolicy/,
dc/base/Israel_Census,StatisticsProvenance,https://www.cbs.gov.il/,https://www.cbs.gov.il/en/Statistics/Pages/Generators/Time-Series-DataBank.aspx?level_1=4,https://www.cbs.gov.il/he/Pages/default.aspx,CBS Custom Open License,https://forum.hasadna.org.il/uploads/default/original/1X/5053ef9103b547ceff3de67a3899653affbe805d.pdf,
dc/base/Japan_Census,StatisticsProvenance,https://www.e-stat.go.jp/,https://dashboard.e-stat.go.jp/graphSearch/graphSearchResult?selectedLFieldCd=02,https://www.e-stat.go.jp/,Government of Japan Standard Terms of Use,https://www.e-stat.go.jp/en/terms-of-use,
dc/base/MexicoCensus,StatisticsProvenance,https://www.inegi.org.mx/temas/,https://en.www.inegi.org.mx/temas/,https://www.inegi.org.mx/default.html,Free Use License,https://en.www.inegi.org.mx/inegi/terminos.html,
dc/base/MexicoCensus_AA2,StatisticsProvenance,https://data.humdata.org/dataset/cod-ps-mex,https://data.humdata.org/dataset/cod-ps-mex,https://www.unocha.org/,Proprietary / Restricted Non-Commercial License,https://gms.unocha.org/en/content/terms-and-conditions-use,
dc/base/MidDcidMappings,PlaceProvenance,https://www.google.com,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/NASA_NEXDCP30,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_CMIP6_IpccPlaces50,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_CMIP6_Subnational,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_CMIP6_Subnational_Histogram,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_CMIP6_Subnational_PDFs,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_CMIP6_Subnational_Prediction_Diffs,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_Country,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_IpccPlaces50,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_NEXGDDP_Subnational,StatisticsProvenance,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_SeaLevelProjections_CMIP6,StatisticsProvenance,https://podaac.jpl.nasa.gov/announcements/2021-08-09-Sea-level-projections-from-the-IPCC-6th-Assessment-Report,https://podaac.jpl.nasa.gov/announcements/2021-08-09-Sea-level-projections-from-the-IPCC-6th-Assessment-Report,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_VIIRSActiveFiresEvent_Observations,StatisticsProvenance,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NASA_VIIRSActiveFiresEvents,EntityProvenance,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,https://www.nasa.gov/,PublicDomain,https://sti.nasa.gov/disclaimers/,
dc/base/NCES_HBCU_Enrollment_Import,StatisticsProvenance,https://nces.ed.gov/programs/digest/d22/tables/dt22_313.30.asp,https://nces.ed.gov/programs/digest/d22/tables/dt22_313.30.asp,https://nces.ed.gov/,PublicDomain,https://nces.ed.gov/statprog/licenseapp/licenseinfo,
dc/base/NCES_NationsReportCard,StatisticsProvenance,https://nces.ed.gov/nationsreportcard/,https://www.nationsreportcard.gov/ndecore,https://nces.ed.gov/,PublicDomain,https://nces.ed.gov/statprog/licenseapp/licenseinfo,
dc/base/NCES_PrivateSchool,PlaceProvenance,https://nces.ed.gov/ccd/elsi/tableGenerator.aspx,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/,PublicDomain,https://nces.ed.gov/statprog/licenseapp/licenseinfo,
dc/base/NCES_PublicSchool,PlaceProvenance,https://nces.ed.gov/ccd/elsi/tableGenerator.aspx,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/,PublicDomain,https://nces.ed.gov/statprog/licenseapp/licenseinfo,
dc/base/NCES_SchoolDistrict,PlaceProvenance,https://nces.ed.gov/ccd/elsi/tableGenerator.aspx,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/,PublicDomain,https://nces.ed.gov/statprog/licenseapp/licenseinfo,
dc/base/NOAA_CoastWatch_SeaSurfaceSalinity,StatisticsProvenance,https://coastwatch.noaa.gov/erddap/griddap/noaacwSMAPsss3Daily.html,https://coastwatch.noaa.gov/cwn/index.html,https://www.noaa.gov/,PublicDomain,https://www.weather.gov/disclaimer,
dc/base/NOAA_CoastWatch_SeaSurfaceTemperature,StatisticsProvenance,https://coastwatch.noaa.gov/erddap/griddap/noaacwBLENDEDsstDaily.html,https://coastwatch.noaa.gov/cwn/index.html,https://www.noaa.gov/,PublicDomain,https://www.weather.gov/disclaimer,
dc/base/NOAA_EPA_Observed_Historical_Weather,StatisticsProvenance,https://www.noaa.gov/,https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily,https://www.noaa.gov/,PublicDomain,https://www.weather.gov/disclaimer,
dc/base/NOAA_GFS_WeatherForecast,StatisticsProvenance,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,https://www.noaa.gov/,PublicDomain,https://www.weather.gov/disclaimer,
dc/base/NYT_COVID19,StatisticsProvenance,https://www.nytimes.com/article/coronavirus-county-data-us.html,https://github.com/nytimes/covid-19-data/,https://www.nytimes.com/,Strictly Proprietary / All Rights Reserved,https://help.nytimes.com/115014893428-Terms-of-Service,
dc/base/NearbyGeos,PlaceProvenance,https://datacommons.org,https://datacommons.org/,https://datacommons.org/,Creative Commons Attribution License,https://developers.google.com/terms,
dc/base/New_Zealand_Census,StatisticsProvenance,https://www.stats.govt.nz/,https://www.stats.govt.nz/topics/population,https://www.stats.govt.nz/,Creative Commons Attribution License,https://www.stats.govt.nz/about-us/copyright/,
dc/base/OCHAGeoCoordinates,PlaceProvenance,https://data.humdata.org,https://data.humdata.org/,https://www.un.org/en/,Proprietary / Restricted Non-Commercial License,https://www.un.org/en/about-us/terms-of-use,
dc/base/OCHAGeoCoordinatesExtended,PlaceProvenance,https://data.humdata.org,https://data.humdata.org/,https://www.un.org/en/,Proprietary / Restricted Non-Commercial License,https://www.un.org/en/about-us/terms-of-use,
dc/base/OCHAGeoCoordinates_Simplified,PlaceProvenance,https://data.humdata.org,https://data.humdata.org/,https://www.un.org/en/,Proprietary / Restricted Non-Commercial License,https://www.un.org/en/about-us/terms-of-use,
dc/base/OWID_COVID19,StatisticsProvenance,https://ourworldindata.org/coronavirus,https://github.com/owid/covid-19-data/tree/master/public/data/vaccinations,https://ourworldindata.org/,Creative Commons Attribution License,https://ourworldindata.org/faqs,
dc/base/OpportunityInsightsNeighborhoods,StatisticsProvenance,http://opportunityinsights.org,https://opportunityinsights.org/data/,https://opportunityinsights.org/,Creative Commons Attribution License,https://github.com/orgs/OpportunityInsights/repositories,
dc/base/OpportunityInsightsOutcomes,StatisticsProvenance,http://opportunityinsights.org/data,https://opportunityinsights.org/data/,https://opportunityinsights.org/,Creative Commons Attribution License,https://github.com/orgs/OpportunityInsights/repositories,
