dcid,prov_url,sourceDataUrl,dataset_url,source_url
dc/base/Copernicus_ECMWF_ERA5_Monthly_AggrYearsStats,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,,https://cds.climate.copernicus.eu/cdsapp#!/dataset/reanalysis-era5-single-levels,https://www.copernicus.eu/en
dc/base/Cotedivoire_Census,https://cotedivoire.opendataforafrica.org/,,https://cotedivoire.opendataforafrica.org/,https://dataportal.opendataforafrica.org/
dc/base/CycloneNOAA_Entities,https://www.ncei.noaa.gov/products/international-best-track-archive,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,https://www.ncdc.noaa.gov/ibtracs/index.php?name=ib-v4-access,https://www.noaa.gov/
dc/base/CycloneNOAA_Paths,https://www.ncei.noaa.gov/products/international-best-track-archive,https://www.ncei.noaa.gov/data/international-best-track-archive-for-climate-stewardship-ibtracs/v04r00/access/csv/ibtracs.ALL.list.v04r00.csv,https://www.ncdc.noaa.gov/ibtracs/index.php?name=ib-v4-access,https://www.noaa.gov/
dc/base/DEA_DrugCodes,https://www.deadiversion.usdoj.gov/21cfr/cfr/2108cfrt.htm,,,
dc/base/DataCommons_CoverageStats,https://datacommons.org,,https://datacommons.org/,https://datacommons.org/
dc/base/DynamicWorld_FloodEvents_AutoRefresh,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
dc/base/EIA860_PowerPlants,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/electricity/data/eia860/xls/eia8602019.zip,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/
dc/base/EIA860_Utilities,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/electricity/data/eia860/xls/eia8602019.zip,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/
dc/base/EIA_860,https://www.eia.gov/electricity/data/eia860/,,https://www.eia.gov/electricity/data/eia860/,https://www.eia.gov/
dc/base/EPACriteriaAirPollutants_Stations,https://aqs.epa.gov/aqsweb/airdata/download_files.html,,https://www.epa.gov/outdoor-air-quality-data,https://www.epa.gov/
dc/base/EPA_EJSCREEN_AggCensusTract,https://gaftp.epa.gov/EJSCREEN/,https://zenodo.org/records/14767363,https://www.epa.gov/ejscreen,https://www.epa.gov/
dc/base/EPA_EJSCREEN_AggCensusTract_AggCounty,https://gaftp.epa.gov/EJSCREEN/,https://zenodo.org/records/14767363,https://www.epa.gov/ejscreen,https://www.epa.gov/
dc/base/EPA_GHGRPFacilities,https://www.epa.gov/enviro/greenhouse-gas-overview,,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/
dc/base/EPA_GHGRP_ParentCompanies_Ownership,https://www.epa.gov/ghgreporting,https://enviro.epa.gov/enviro/ef_metadata_html.ef_metadata_table?p_table_name=V_PARENT_COMPANY_INFO,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/
dc/base/EPA_ParentCompanies,https://www.epa.gov/ghgreporting,,https://www.epa.gov/enviro/greenhouse-gas-overview,https://www.epa.gov/
dc/base/EPA_Superfund_Measurement_Sites,https://cumulis.epa.gov/supercpad/SiteProfiles/index.cfm?fuseaction=second.scs&id=0601269&doc=Y&colid=33990&region=06&type=SC,,https://www.epa.gov/superfund,https://www.epa.gov/
dc/base/EPA_Superfund_Sites,https://epa.maps.arcgis.com/apps/webappviewer/index.html?id=33cebcdfdd1b4c3a8b51d416956c41f1,,https://www.epa.gov/superfund,https://www.epa.gov/
dc/base/Energy_StatVarCalculation,https://datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/EuroGeos,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,,https://ec.europa.eu/eurostat/,https://ec.europa.eu/eurostat
dc/base/EurostatGeoCoodinates,https://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,,https://ec.europa.eu/eurostat/,https://ec.europa.eu/eurostat
dc/base/Eurostat_Early_Education_Training,https://ec.europa.eu/eurostat/databrowser/view/sdg_04_30__custom_7874475/default/table?lang=en,,https://ec.europa.eu/eurostat/web/education-and-training/database,https://ec.europa.eu/eurostat
dc/base/FAO_Currency,https://www.fao.org/faostat/en/#data/PE/metadata,,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/
dc/base/FAO_Currency_statvar,https://www.fao.org/faostat/en/#data/PE/metadata,https://bulks-faostat.fao.org/production/Exchange_rate_E_All_Data.zip,https://www.fao.org/faostat/en/#data/PE/metadata,https://www.fao.org/faostat/
dc/base/FBIGovCrime_AggCountry,http://www.fbi.gov/services/cjis/ucr,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,https://www.fbi.gov/services/cjis/ucr,https://www.fbi.gov/
dc/base/FBIHateCrime,https://www.fbi.gov/services/cjis/ucr/hate-crime,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,https://www.fbi.gov/services/cjis/ucr/hate-crime,https://www.fbi.gov/
dc/base/FBIHateCrimePublications,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/hate-crime,https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/downloads,https://www.fbi.gov/services/cjis/ucr/hate-crime,https://www.fbi.gov/
dc/base/FEC,https://www.fec.gov/data/browse-data/?tab=bulk-data,https://download.bls.gov/pub/time.series/la/,https://www.fec.gov/data/browse-data/?tab=bulk-data,https://www.fec.gov/
dc/base/FeedingAmerica_FoodInsecurity,https://www.feedingamerica.org/hunger-in-america,,https://map.feedingamerica.org,https://www.feedingamerica.org/
dc/base/FeedingAmerica_MapMealGap,https://map.feedingamerica.org/,,https://map.feedingamerica.org,https://www.feedingamerica.org/
dc/base/FireFAMWEB,https://fam.nwcg.gov/fam-web/,,https://famit.nwcg.gov/,https://www.nwcg.gov/
dc/base/FireFAMWEB_Agg,https://fam.nwcg.gov/fam-web/,,https://famit.nwcg.gov/,https://www.nwcg.gov/
dc/base/FiresS2Cells,https://s2geometry.io/resources/s2cell_statistics.html,,,
dc/base/FloodsS2Cells,https://s2geometry.io/resources/s2cell_statistics.html,,,
dc/base/GenderIncomeInequality,https://www.datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/GeneratedGraphs,https://datacommons.org/,,https://datacommons.org/,https://datacommons.org/
dc/base/GeoCoordinatesData,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.2018.html,,https://www.census.gov/programs-surveys/geography/geographies/mapping-files.html,https://www.census.gov/
dc/base/GeoCoordinatesData_Oceans,https://www.marineregions.org/sources.php#goas,,https://www.marineregions.org/sources.php#goas,https://www.marineregions.org/
dc/base/GeoCoordinatesData_Simplified,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.2018.html,,https://www.census.gov/programs-surveys/geography/geographies/mapping-files.html,https://www.census.gov/
dc/base/GeoCoordinatesData_UK,https://geoportal.statistics.gov.uk/datasets/ons::lsoa-dec-2011-boundaries-generalised-clipped-bgc-ew-v3-2/explore,,https://geoportal.statistics.gov.uk/,https://www.ons.gov.uk/
dc/base/GeoGridPlace_1Deg_Contains_With_Oceans,https://www.marineregions.org/sources.php#goas,,https://www.marineregions.org/sources.php#goas,https://www.marineregions.org/
dc/base/GoogleKGOnlyGeos,https://www.google.com,,https://www.google.com/,https://www.google.com/
dc/base/HumanReadableStatVars,https://datacommons.org,,https://datacommons.org/,https://datacommons.org/
dc/base/INPE_Fire_Event_Count,https://terrabrasilis.dpi.inpe.br/queimadas/situacao-atual/estatisticas/estatisticas_estados/,,https://www.gov.br/inpe/pt-br/acesso-a-informacao/dados-abertos/,https://www.gov.br/inpe/
dc/base/IPCCPlaces,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/IPCCPlaces_GeoCoordinates,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/IndiaCensus_Primary,https://censusindia.gov.in/,,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/
dc/base/IndiaCensus_PrimaryHouseless,https://censusindia.gov.in/,,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/
dc/base/IndiaCensus_PrimaryReligion,https://censusindia.gov.in/,,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/
dc/base/IndiaCensus_PrimarySC,https://censusindia.gov.in/,,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/
dc/base/IndiaCensus_PrimaryST,https://censusindia.gov.in/,,https://censusindia.gov.in/census.website/data/census-tables,https://censusindia.gov.in/
dc/base/IndiaGeoCoordinates,http://projects.datameet.org/maps,,http://projects.datameet.org/maps,https://datameet.org/
dc/base/IndiaGeoCoordinates_Simplified,http://projects.datameet.org/maps,,,
dc/base/IndiaGeodata,https://github.com/datameet/maps/blob/master/Country/india-composite.geojson,,http://projects.datameet.org/maps,https://datameet.org/
dc/base/IndiaLGDCodes,https://lgdirectory.gov.in/downloadDirectory.do?OWASP_CSRFTOKEN=G4BW-2HK0-ZHUD-605W-VA1F-EAC8-M9J0-W4S5,,https://lgdirectory.gov.in/,https://www.nic.in/
dc/base/IndiaNHM,https://hmis.nhp.gov.in/,,https://hmis.nhp.gov.in/,https://nhm.gov.in/
dc/base/IndiaNSS_HealthAilments_StatVarAgg,https://ndap.niti.gov.in/dataset/7300,,https://mospi.gov.in/documents/213904/301563//NSS%20Report%20no.%20586%20Health%20in%20India1606229312083.pdf/d3724e8b-5970-0559-9ed9-12378a6cc7b3,https://mospi.gov.in/web/nss
dc/base/IndiaPLFS_DailyWages,https://mospi.gov.in/web/plfs,,https://mospi.gov.in/web/plfs,https://mospi.gov.in/
dc/base/IndiaPLFS_Wages,https://mospi.gov.in/web/plfs,,https://mospi.gov.in/web/plfs,https://mospi.gov.in/
dc/base/IndiaPoverty,https://socialjustice.gov.in/common/76672,,https://www.niti.gov.in/sites/default/files/2021-11/National_MPI_India-11242021.pdf,https://niti.gov.in/
dc/base/IndiaUDISEGeos,http://pgi.seshagun.gov.in/BackEnd-master/api/report/getMasterData,,https://udiseplus.gov.in/#/home,https://dashboard.udiseplus.gov.in/#/home
dc/base/IndiaUDISEStateMappings,http://pgi.seshagun.gov.in/BackEnd-master/api/report/getMasterData,,https://udiseplus.gov.in/#/home,https://dashboard.udiseplus.gov.in/#/home
dc/base/IndiaWRISWaterQuality,https://indiawris.gov.in/wris,https://indiawris.gov.in/wris/#/DataDownload,https://indiawris.gov.in/wiki/doku.php?id=water_quality_data_and_parameters,https://indiawris.gov.in/wris/#/
dc/base/IndiaWaterQualityStations,https://indiawris.gov.in/wris,https://indiawris.gov.in/wris/#/DataDownload,https://indiawris.gov.in/wiki/doku.php?id=water_quality_data_and_parameters,https://indiawris.gov.in/wris/#/
dc/base/India_GeoSadak,https://geosadak-pmgsy.nic.in/,,https://geosadak-pmgsy.nic.in/OpenData,https://geosadak-pmgsy.nic.in/
dc/base/India_RBIStateDomesticProduct_AggCountry,https://rbi.org.in/,,https://dbie.rbi.org.in/DBIE/dbie.rbi?site=statistics,https://rbi.org.in/
dc/base/India_RBIStateDomesticProduct_StatVarAgg,https://rbi.org.in/,,https://dbie.rbi.org.in/DBIE/dbie.rbi?site=statistics,https://rbi.org.in/
dc/base/India_RBIStateDomesticProduct_StatVarAgg_AggCountry,https://rbi.org.in/,,https://dbie.rbi.org.in/DBIE/dbie.rbi?site=statistics,https://rbi.org.in/
dc/base/Indonesia_Census,https://www.bps.go.id/,,https://www.bps.go.id/indikator/indikator/list_/da_03/,https://www.bps.go.id/
dc/base/Ireland_Census,https://www.cso.ie/en/index.html,https://data.cso.ie/,https://www.cso.ie/en/statistics/,https://www.cso.ie/en/index.html
dc/base/Israel_Census,https://www.cbs.gov.il/,,https://www.cbs.gov.il/en/Statistics/Pages/Generators/Time-Series-DataBank.aspx?level_1=4,https://www.cbs.gov.il/he/Pages/default.aspx
dc/base/Japan_Census,https://www.e-stat.go.jp/,,https://dashboard.e-stat.go.jp/graphSearch/graphSearchResult?selectedLFieldCd=02,https://www.e-stat.go.jp/
dc/base/MexicoCensus,https://www.inegi.org.mx/temas/,,https://en.www.inegi.org.mx/temas/,https://www.inegi.org.mx/default.html
dc/base/MexicoCensus_AA2,https://data.humdata.org/dataset/cod-ps-mex,,https://data.humdata.org/dataset/cod-ps-mex,https://www.unocha.org/
dc/base/MidDcidMappings,https://www.google.com,,https://datacommons.org/,https://datacommons.org/
dc/base/NASA_DCP30_CMIP5_Subnational_AggrDiffStats_LongRangeProjections,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,https://www.nasa.gov/
dc/base/NASA_NEXDCP30,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,https://www.nasa.gov/
dc/base/NASA_NEXDCP30_AggrDiffStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,https://www.nasa.gov/
dc/base/NASA_NEXDCP30_AggrYearsStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-dcp30,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_IpccPlaces50,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_IpccPlaces50_AggrDiffStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_IpccPlaces50_AggrOverTimeOnStatsAcrossModels,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_IpccPlaces50_AggrStatsAcrossModels,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_IpccPlaces50_AggrYearsStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_AggrDiffStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_AggrDiffStats_LongRangeProjections,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_AggrOverTimeOnStatsAcrossModels,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_AggrStatsAcrossModels,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_AggrYearsStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_Histogram,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_PDFs,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_CMIP6_Subnational_Prediction_Diffs,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp-cmip6,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_Country,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_Country_AggrDiffStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_IpccPlaces50,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_IpccPlaces50_AggrDiffStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_Subnational,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_Subnational_AggrDiffStats,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_Subnational_AggrOverTimeOnStatsAcrossModels,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_NEXGDDP_Subnational_AggrStatsAcrossModels,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_SeaLevelProjections_CMIP6,https://podaac.jpl.nasa.gov/announcements/2021-08-09-Sea-level-projections-from-the-IPCC-6th-Assessment-Report,,https://podaac.jpl.nasa.gov/announcements/2021-08-09-Sea-level-projections-from-the-IPCC-6th-Assessment-Report,https://www.nasa.gov/
dc/base/NASA_VIIRSActiveFiresEvent_Observations,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,https://www.nasa.gov/
dc/base/NASA_VIIRSActiveFiresEvents,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,https://www.nasa.gov/
dc/base/NASA_VIIRSActiveFiresEvents_Agg,https://firms.modaps.eosdis.nasa.gov/active_fire/,,https://www.earthdata.nasa.gov/learn/find-data/near-real-time/firms/vnp14imgtdlnrt,https://www.nasa.gov/
dc/base/NASA_WetBulbComputation,https://datacommons.org/,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NASA_WetBulbComputation_Aggregation,https://datacommons.org/,,https://www.nccs.nasa.gov/services/data-collections/land-based-products/nex-gddp,https://www.nasa.gov/
dc/base/NCES_HBCU_Enrollment_Import,https://nces.ed.gov/programs/digest/d22/tables/dt22_313.30.asp,,https://nces.ed.gov/programs/digest/d22/tables/dt22_313.30.asp,https://nces.ed.gov/
dc/base/NCES_NationsReportCard,https://nces.ed.gov/nationsreportcard/,,https://www.nationsreportcard.gov/ndecore,https://nces.ed.gov/
dc/base/NCES_PrivateSchool,https://nces.ed.gov/ccd/elsi/tableGenerator.aspx,,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/
dc/base/NCES_PrivateSchoolStats_SuperEnum,https://datacommons.org/,,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/
dc/base/NCES_PublicSchool,https://nces.ed.gov/ccd/elsi/tableGenerator.aspx,,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/
dc/base/NCES_PublicSchoolStats_SuperEnum,https://datacommons.org/,,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/
dc/base/NCES_SchoolDistrict,https://nces.ed.gov/ccd/elsi/tableGenerator.aspx,,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/
dc/base/NCES_SchoolDistrictStats_SuperEnum,https://datacommons.org/,,https://nces.ed.gov/ccd/elsi/,https://nces.ed.gov/
dc/base/NOAA_CoastWatch_SeaSurfaceSalinity,https://coastwatch.noaa.gov/erddap/griddap/noaacwSMAPsss3Daily.html,,https://coastwatch.noaa.gov/cwn/index.html,https://www.noaa.gov/
dc/base/NOAA_CoastWatch_SeaSurfaceTemperature,https://coastwatch.noaa.gov/erddap/griddap/noaacwBLENDEDsstDaily.html,,https://coastwatch.noaa.gov/cwn/index.html,https://www.noaa.gov/
dc/base/NOAA_EPA_Observed_Historical_Weather,https://www.noaa.gov/,,https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily,https://www.noaa.gov/
dc/base/NOAA_EPA_Observed_Historical_Weather_AggrYearsStats,https://www.ncei.noaa.gov/cdo-web/,,https://www.ncei.noaa.gov/products/land-based-station/global-historical-climatology-network-daily,https://www.noaa.gov/
dc/base/NOAA_GFS_WeatherForecast,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,,https://www.ncei.noaa.gov/products/weather-climate-models/global-forecast,https://www.noaa.gov/
dc/base/NYT_COVID19,https://www.nytimes.com/article/coronavirus-county-data-us.html,https://github.com/nytimes/covid-19-data/,https://github.com/nytimes/covid-19-data/,https://www.nytimes.com/
dc/base/NearbyGeos,https://datacommons.org,,https://datacommons.org/,https://datacommons.org/
dc/base/New_Zealand_Census,https://www.stats.govt.nz/,https://www.stats.govt.nz/large-datasets/csv-files-for-download/,https://www.stats.govt.nz/topics/population,https://www.stats.govt.nz/
dc/base/OCHAGeoCoordinates,https://data.humdata.org,,https://data.humdata.org/,https://www.un.org/en/
dc/base/OCHAGeoCoordinatesExtended,https://data.humdata.org,,https://data.humdata.org/,https://www.un.org/en/
dc/base/OCHAGeoCoordinates_Simplified,https://data.humdata.org,,https://data.humdata.org/,https://www.un.org/en/
